path,language,speaker_id,PRR,length,sentence
10-007_20130124_01/10-007_20130124_01_7083.75_7089.81.mp3,es,370,100.00,6.06,"con una manipulación absoluta del lenguaje y confirmarán una frase que leía no hace mucho tiempo
"
10-007_20130124_01/10-007_20130124_01_9033.42_9042.44.mp3,es,370,100.00,9.02,"es en una manipulación absoluta del lenguaje y termino señora presidenta diciendo que el partido popular vasco
"
10-007_20130124_02/10-007_20130124_02_5145.46_5155.81.mp3,es,380,100.00,10.35,"son también los niños y niñas de nuestra amplia clase media que si tienen alguna dificultad de aprendizaje subsanable con una atención más directa verán
"
10-007_20130124_02/10-007_20130124_02_5719.35_5725.21.mp3,es,6,100.00,5.86,"del gobierno es el mayor ataque y la mayor agresión contra el euskera y el sistema educativo vasco
"
10-007_20130124_02/10-007_20130124_02_5846.18_5852.37.mp3,es,6,100.00,6.19,"quieren acabar con todo aquello que sea distinto al castellano no podemos permitir este acoso y derribo al euskera
"
10-007_20130124_02/10-007_20130124_02_6047.10_6052.74.mp3,eu,6,98.46,5.64,"ez du euskeraren aurkako eta euskaldunen eskubideen aurkako erreformarik nahi
"
10-007_20130124_02/10-007_20130124_02_6059.73_6063.42.mp3,eu,6,100.00,3.69,"eta berariazko hizkuntzekiko euskera
"
10-007_20130124_02/10-007_20130124_02_6091.91_6100.28.mp3,eu,6,98.95,8.37,"are gehiago aukera zabaltzen du euskeraren presentziarik ez duen hezkuntza bermatzea diru publikoarekin onartezina
"
10-007_20130124_02/10-007_20130124_02_6224.64_6234.38.mp3,es,6,100.00,9.74,"la recentralización del estado y limitar nuestra capacidad para decidir en euskal herria nuestra propia educación un ataque en toda regla al euskera
"
10-007_20130124_02/10-007_20130124_02_6713.34_6718.70.mp3,es,99,98.53,5.36,"tanto del euskera como del castellano en cambio se empeña en regular la proporción
"
10-007_20130124_02/10-007_20130124_02_6829.58_6835.33.mp3,es,99,100.00,5.75,"finkatuko ez duena no como se hace en el anteproyecto en el que el euskera está por debajo del castellano
"
10-007_20130124_02/10-007_20130124_02_7285.44_7290.87.mp3,es,290,98.80,5.43,"lo mismo que defendemos que se pueda estudiar en euskera en euskadi por supuesto pensamos que también
"
10-007_20130124_02/10-007_20130124_02_7306.64_7316.87.mp3,es,290,100.00,10.23,"del país una ley que supere el disparate de que tengamos diecisiete modelos educativos en españa una ley que ni siquiera tenga que hablar de derechos lingüísticos
"
10-007_20130124_02/10-007_20130124_02_7316.96_7323.67.mp3,es,290,100.00,6.71,"porque dichos derechos lingüísticos estarán perfectamente respetados en cualquier lugar de españa una ley
"
10-007_20130124_02/10-007_20130124_02_7362.40_7372.77.mp3,es,290,100.00,10.37,"mejorar el nivel de conocimientos en materias prioritarias incrementar la autonomía de los centros docentes mejorar el aprendizaje de las lenguas extranjeras entre otros
"
10-007_20130124_02/10-007_20130124_02_7429.38_7433.51.mp3,es,290,100.00,4.13,"decir que este borrador supone un ataque directo al euskera
"
10-007_20130124_02/10-007_20130124_02_7435.28_7441.45.mp3,es,290,98.85,6.17,"derecho y eje de nuestro sistema educativo y solamente por defender la libertad de elección lingüística
"
10-007_20130124_02/10-007_20130124_02_7529.04_7539.19.mp3,es,290,100.00,10.15,"aspectos competenciales y lingüísticos pero para nada hablan de la calidad de la educación que es algo en lo que todos deberíamos centrarnos nada más y gracias
"
10-007_20130124_02/10-007_20130124_02_8814.58_8818.93.mp3,es,6,92.31,4.35,"es decir la cooficial el euskera el catalán está
"
10-007_20130124_02/10-007_20130124_02_8864.18_8869.49.mp3,es,6,100.00,5.31,"vamos a la parte del euskera eso sí la obligatoriedad del castellano la define clarísimamente
"
10-007_20130124_02/10-007_20130124_02_8870.48_8875.51.mp3,es,6,94.29,5.04,"disposición adicional treinta y nueve punto uno ahora del euskera sabe que dice bueno
"
10-007_20130124_02/10-007_20130124_02_8876.69_8881.88.mp3,es,6,100.00,5.20,"del tema del euskera el tema de las lenguas de cada una de las comunidades
"
10-007_20130124_02/10-007_20130124_02_8978.57_8983.51.mp3,es,6,93.83,4.94,"que tenemos que ser conscientes de eso zuk esan diozu hombre si cambiaran esto con el tema del euskera
"
10-007_20130124_02/10-007_20130124_02_9358.84_9368.47.mp3,es,99,100.00,9.63,"del artículo dieciséis del estatuto y también les exigimos respeto a la legislación lingüística la comunidad autónoma de euskadi tiene dos lenguas oficiales
"
10-007_20130124_02/10-007_20130124_02_9395.24_9405.47.mp3,es,99,100.00,10.23,"práctico suficiente en las dos lenguas oficiales tanto en euskera como en castellano ustedes están siendo cómplices de la ruptura de estos dos principios acordados en este parlamento
"
10-007_20130124_02/10-007_20130124_02_9486.12_9490.25.mp3,es,353,90.00,4.13,"esta nueva ley en materia lingüística cuáles son las competencias que se invaden
"
10-007_20130124_02/10-007_20130124_02_9547.21_9553.91.mp3,es,353,100.00,6.70,"por la constitución y en materia lingüística lo único que recoge esta ley son simplemente
"
10-007_20130124_02/10-007_20130124_02_9556.78_9561.20.mp3,es,353,100.00,4.42,"sobre todo para que se cumpla la ley en aquellos sitios donde no se está cumpliendo la ley en materia lingüística
"
10-007_20130124_02/10-007_20130124_02_9605.73_9611.74.mp3,es,353,95.83,6.01,"el diseño curricular del catalán o del euskera aquí o el gallego sea competencia plena de la comunidad autónoma por eso
"
10-007_20130124_02/10-007_20130124_02_9701.62_9706.38.mp3,es,353,96.47,4.77,"con las competencias de las comunidades autónomas que en materia lingüística desde luego a euskadi
"
10-009_20130207_02/10-009_20130207_02_2008.34_2014.32.mp3,es,353,96.15,5.98,"del tratamiento equilibrado de las dos lenguas oficiales de nuestra comunidad el euskera
"
10-009_20130207_02/10-009_20130207_02_2082.70_2087.48.mp3,es,353,100.00,4.78,"y el euskera asimismo también trata de estimular
"
10-009_20130207_02/10-009_20130207_02_2160.29_2170.03.mp3,es,353,100.00,9.74,"la garantía del bilingüismo y el contacto de los niños y niñas equilibrado con las dos lenguas el euskera
"
10-009_20130207_02/10-009_20130207_02_2171.42_2181.34.mp3,es,353,100.00,9.92,"ese proyecto educativo el de las escuelas infantiles del consorcio haurreskolak recoge en lo relativo al tratamiento lingüístico que
"
10-009_20130207_02/10-009_20130207_02_2317.67_2323.86.mp3,es,353,100.00,6.19,"es el castellano y que no es razonable no es razonable por mucho que el euskera sea la lengua principal
"
10-009_20130207_02/10-009_20130207_02_2514.06_2523.27.mp3,es,353,100.00,9.21,"personal de comprobarlo hemos llamado a escuelas infantiles para interesarnos de cual era su tratamiento lingüístico nos han explicado
"
